date,dominant_contract,dominant_close,dominant_oi,rolled,roll_id
2002-09-26,Z2002,43.78,46494.0,False,45
2002-09-27,Z2002,44.34,46347.0,False,45
2002-09-30,Z2002,44.42,46240.0,False,45
2002-10-01,Z2002,45.49,45833.0,False,45
2002-10-02,Z2002,45.99,45505.0,False,45
2002-10-03,Z2002,44.26,45110.0,False,45
2002-10-04,Z2002,42.44,43737.0,False,45
2002-10-07,Z2002,42.77,45199.0,False,45
2002-10-08,Z2002,42.65,45447.0,False,45
2002-10-09,Z2002,43.17,45716.0,False,45
2002-10-10,Z2002,43.54,45949.0,False,45
2002-10-11,Z2002,42.84,46177.0,False,45
2002-10-14,Z2002,42.76,46481.0,False,45
2002-10-15,Z2002,44.04,44920.0,False,45
2002-10-16,Z2002,43.58,45069.0,False,45
2002-10-17,Z2002,44.04,45502.0,False,45
2002-10-18,Z2002,44.45,44937.0,False,45
2002-10-21,Z2002,44.4,43650.0,False,45
2002-10-22,Z2002,44.73,43574.0,False,45
2002-10-23,Z2002,45.21,42601.0,False,45
2002-10-24,Z2002,45.89,40768.0,False,45
2002-10-25,Z2002,46.63,41454.0,False,45
2002-10-28,Z2002,46.31,41471.0,False,45
2002-10-29,Z2002,46.22,41490.0,False,45
2002-10-30,Z2002,46.1,41311.0,False,45
2002-10-31,Z2002,46.25,40666.0,False,45
2002-11-01,Z2002,46.91,40739.0,False,45
2002-11-04,Z2002,49.13,43326.0,False,45
2002-11-05,Z2002,47.95,46741.0,False,45
2002-11-06,Z2002,47.69,47535.0,False,45
2002-11-07,Z2002,48.23,45624.0,False,45
2002-11-08,Z2002,48.39,44113.0,False,45
2002-11-11,Z2002,48.42,39729.0,False,45
2002-11-12,Z2002,47.57,35314.0,False,45
2002-11-13,Z2002,47.35,31194.0,False,45
2002-11-14,H2003,49.94,32784.0,True,46
2002-11-15,H2003,51.33,38334.0,False,46
2002-11-18,H2003,50.97,45532.0,False,46
2002-11-19,H2003,49.71,49278.0,False,46
2002-11-20,H2003,51.04,50605.0,False,46
2002-11-21,H2003,50.58,51053.0,False,46
2002-11-22,H2003,50.65,51266.0,False,46
2002-11-25,H2003,50.89,51253.0,False,46
2002-11-26,H2003,50.18,51156.0,False,46
2002-11-27,H2003,50.18,51156.0,False,46
2002-11-29,H2003,50.18,50598.0,False,46
2002-12-02,H2003,49.81,50504.0,False,46
2002-12-03,H2003,48.14,47937.0,False,46
2002-12-04,H2003,48.2,45434.0,False,46
2002-12-05,H2003,48.8,44954.0,False,46
